date,orders_total,orders_dc1,orders_dc2,is_promo,day_of_week,month
2025-07-13,6954,4162,2792,1,Sunday,7
2025-07-14,6886,4069,2817,0,Monday,7
2025-07-15,6257,3827,2430,0,Tuesday,7
2025-07-16,4948,2865,2083,0,Wednesday,7
2025-07-17,5330,3332,1998,0,Thursday,7
2025-07-18,5168,3177,1991,0,Friday,7
2025-07-19,3494,2100,1394,0,Saturday,7
2025-07-20,3099,1873,1226,0,Sunday,7
2025-07-21,7056,4665,2391,0,Monday,7
2025-07-22,5993,3765,2228,0,Tuesday,7
2025-07-23,5838,3888,1950,0,Wednesday,7
2025-07-24,5407,3330,2077,0,Thursday,7
2025-07-25,4928,2739,2189,0,Friday,7
2025-07-26,3269,1935,1334,0,Saturday,7
2025-07-27,3117,1711,1406,0,Sunday,7
2025-07-28,6163,3795,2368,0,Monday,7
2025-07-29,5395,3357,2038,0,Tuesday,7
2025-07-30,5427,3111,2316,0,Wednesday,7
2025-07-31,5401,3134,2267,0,Thursday,7
2025-08-01,4690,2834,1856,0,Friday,8
2025-08-02,3687,2079,1608,0,Saturday,8
2025-08-03,2843,1597,1246,0,Sunday,8
2025-08-04,6480,4128,2352,0,Monday,8
2025-08-05,6145,3708,2437,0,Tuesday,8
2025-08-06,5135,2995,2140,0,Wednesday,8
2025-08-07,4896,2689,2207,0,Thursday,8
2025-08-08,4942,3091,1851,0,Friday,8
2025-08-09,3364,1949,1415,0,Saturday,8
2025-08-10,2737,1794,943,0,Sunday,8
2025-08-11,5812,3637,2175,0,Monday,8
2025-08-12,5585,3215,2370,0,Tuesday,8
2025-08-13,4761,2754,2007,0,Wednesday,8
2025-08-14,4752,3096,1656,0,Thursday,8
2025-08-15,4314,2577,1737,0,Friday,8
2025-08-16,3170,1853,1317,0,Saturday,8
2025-08-17,2942,1767,1175,0,Sunday,8
2025-08-18,6075,3550,2525,0,Monday,8
2025-08-19,5472,3322,2150,0,Tuesday,8
2025-08-20,5152,3079,2073,0,Wednesday,8
2025-08-21,4877,3054,1823,0,Thursday,8
2025-08-22,4780,2812,1968,0,Friday,8
2025-08-23,3312,1899,1413,0,Saturday,8
2025-08-24,3052,1799,1253,0,Sunday,8
2025-08-25,6773,3991,2782,0,Monday,8
2025-08-26,5491,3281,2210,0,Tuesday,8
2025-08-27,5574,3450,2124,0,Wednesday,8
2025-08-28,4794,2959,1835,0,Thursday,8
2025-08-29,4442,2825,1617,0,Friday,8
2025-08-30,3055,1758,1297,0,Saturday,8
2025-08-31,3100,1896,1204,0,Sunday,8
2025-09-01,6221,3868,2353,0,Monday,9
2025-09-02,5450,3159,2291,0,Tuesday,9
2025-09-03,5111,3034,2077,0,Wednesday,9
2025-09-04,4309,2359,1950,0,Thursday,9
2025-09-05,4032,2528,1504,0,Friday,9
2025-09-06,3240,1923,1317,0,Saturday,9
2025-09-07,2806,1751,1055,0,Sunday,9
2025-09-08,5842,3541,2301,0,Monday,9
2025-09-09,4996,2969,2027,0,Tuesday,9
2025-09-10,5127,2831,2296,0,Wednesday,9
2025-09-11,4159,2318,1841,0,Thursday,9
2025-09-12,3981,2078,1903,0,Friday,9
2025-09-13,3200,1865,1335,0,Saturday,9
2025-09-14,2402,1605,797,0,Sunday,9
2025-09-15,5613,3150,2463,0,Monday,9
2025-09-16,5041,2626,2415,0,Tuesday,9
2025-09-17,4461,2805,1656,0,Wednesday,9
2025-09-18,4362,2926,1436,0,Thursday,9
2025-09-19,4005,2438,1567,0,Friday,9
2025-09-20,3143,1913,1230,0,Saturday,9
2025-09-21,2945,1739,1206,0,Sunday,9
2025-09-22,5200,2840,2360,0,Monday,9
2025-09-23,5022,2794,2228,0,Tuesday,9
2025-09-24,4226,2495,1731,0,Wednesday,9
2025-09-25,8552,5000,3552,1,Thursday,9
2025-09-26,4301,2565,1736,0,Friday,9
2025-09-27,2809,1755,1054,0,Saturday,9
2025-09-28,2641,1538,1103,0,Sunday,9
2025-09-29,5236,3275,1961,0,Monday,9
2025-09-30,4449,2592,1857,0,Tuesday,9
2025-10-01,4764,3006,1758,0,Wednesday,10
2025-10-02,4046,2438,1608,0,Thursday,10
2025-10-03,3842,2254,1588,0,Friday,10
2025-10-04,2765,1664,1101,0,Saturday,10
2025-10-05,6194,3661,2533,1,Sunday,10
2025-10-06,4988,3009,1979,0,Monday,10
2025-10-07,4267,2657,1610,0,Tuesday,10
2025-10-08,4129,2466,1663,0,Wednesday,10
2025-10-09,4198,2472,1726,0,Thursday,10
2025-10-10,4329,2451,1878,0,Friday,10
2025-10-11,2551,1574,977,0,Saturday,10
2025-10-12,2356,1438,918,0,Sunday,10
2025-10-13,4643,2621,2022,0,Monday,10
2025-10-14,4243,2652,1591,0,Tuesday,10
2025-10-15,4477,2525,1952,0,Wednesday,10
2025-10-16,4318,2724,1594,0,Thursday,10
2025-10-17,3848,2388,1460,0,Friday,10
2025-10-18,2599,1592,1007,0,Saturday,10
2025-10-19,2684,1580,1104,0,Sunday,10
2025-10-20,4954,3057,1897,0,Monday,10
2025-10-21,4766,3013,1753,0,Tuesday,10
2025-10-22,4024,2485,1539,0,Wednesday,10
2025-10-23,3939,2284,1655,0,Thursday,10
2025-10-24,3501,2128,1373,0,Friday,10
2025-10-25,2686,1702,984,0,Saturday,10
2025-10-26,2434,1620,814,0,Sunday,10
2025-10-27,4593,2727,1866,0,Monday,10
2025-10-28,4230,2646,1584,0,Tuesday,10
2025-10-29,4372,2771,1601,0,Wednesday,10
2025-10-30,4229,2434,1795,0,Thursday,10
2025-10-31,3617,2363,1254,0,Friday,10
2025-11-01,3457,1963,1494,0,Saturday,11
2025-11-02,3254,2031,1223,0,Sunday,11
2025-11-03,6411,3905,2506,0,Monday,11
2025-11-04,5368,3229,2139,0,Tuesday,11
2025-11-05,5471,3700,1771,0,Wednesday,11
2025-11-06,4567,2698,1869,0,Thursday,11
2025-11-07,4667,2755,1912,0,Friday,11
2025-11-08,3468,2219,1249,0,Saturday,11
2025-11-09,3227,2009,1218,0,Sunday,11
2025-11-10,5998,3829,2169,0,Monday,11
2025-11-11,5625,3394,2231,0,Tuesday,11
2025-11-12,5108,3113,1995,0,Wednesday,11
2025-11-13,4988,3277,1711,0,Thursday,11
2025-11-14,4758,2735,2023,0,Friday,11
2025-11-15,3439,2052,1387,0,Saturday,11
2025-11-16,3004,1874,1130,0,Sunday,11
2025-11-17,6270,3725,2545,0,Monday,11
2025-11-18,5814,3388,2426,0,Tuesday,11
2025-11-19,5239,3240,1999,0,Wednesday,11
2025-11-20,4878,3122,1756,0,Thursday,11
2025-11-21,4741,2824,1917,0,Friday,11
2025-11-22,3406,2026,1380,0,Saturday,11
2025-11-23,3171,1840,1331,0,Sunday,11
2025-11-24,6628,3917,2711,0,Monday,11
2025-11-25,5323,3366,1957,0,Tuesday,11
2025-11-26,5013,3019,1994,0,Wednesday,11
2025-11-27,4491,2586,1905,0,Thursday,11
2025-11-28,10132,6158,3974,1,Friday,11
2025-11-29,3193,2016,1177,0,Saturday,11
2025-11-30,3043,1774,1269,0,Sunday,11
2025-12-01,5835,3268,2567,0,Monday,12
2025-12-02,5457,3632,1825,0,Tuesday,12
2025-12-03,5391,3011,2380,0,Wednesday,12
2025-12-04,8588,5060,3528,1,Thursday,12
2025-12-05,4584,2782,1802,0,Friday,12
2025-12-06,3347,1980,1367,0,Saturday,12
2025-12-07,3109,1858,1251,0,Sunday,12
2025-12-08,5861,3618,2243,0,Monday,12
2025-12-09,5110,2699,2411,0,Tuesday,12
2025-12-10,4825,2711,2114,0,Wednesday,12
2025-12-11,4497,2704,1793,0,Thursday,12
2025-12-12,4856,2854,2002,0,Friday,12
2025-12-13,3426,2068,1358,0,Saturday,12
2025-12-14,3217,1952,1265,0,Sunday,12
2025-12-15,5358,2874,2484,0,Monday,12
2025-12-16,5796,3699,2097,0,Tuesday,12
2025-12-17,5600,3276,2324,0,Wednesday,12
2025-12-18,5081,2916,2165,0,Thursday,12
2025-12-19,4091,2480,1611,0,Friday,12
2025-12-20,3493,2107,1386,0,Saturday,12
2025-12-21,2987,1899,1088,0,Sunday,12
2025-12-22,5895,3585,2310,0,Monday,12
2025-12-23,5632,3574,2058,0,Tuesday,12
2025-12-24,4786,2736,2050,0,Wednesday,12
2025-12-25,4824,2914,1910,0,Thursday,12
2025-12-26,4969,2815,2154,0,Friday,12
2025-12-27,3320,2001,1319,0,Saturday,12
2025-12-28,3001,1790,1211,0,Sunday,12
2025-12-29,6016,3581,2435,0,Monday,12
2025-12-30,10351,6164,4187,1,Tuesday,12
2025-12-31,5039,3134,1905,0,Wednesday,12
